property_id,publictransport_id
964,1
964,4
964,14
964,15
964,16
965,1
965,4
965,14
966,12
966,14
967,1
967,4
967,8
967,15
967,16
968,12
968,14
969,1
969,4
969,14
970,1
970,12
970,14
971,12
971,14
973,6
980,10
981,6
982,6
987,6
987,10
991,6
991,10
994,6
997,10
1001,6
1003,6
1003,10
1004,6
1006,6
1007,6
1008,6
1009,6
1009,10
1013,6
1016,6
1016,10
1017,6
1017,10
1018,6
1019,6
1020,6
1021,6
1026,6
1027,6
1029,6
1029,10
1031,6
1031,10
1033,6
1033,10
1034,6
1035,6
1036,6
1036,10
1037,6
1038,6
1039,10
1043,10
1045,10
1048,6
1051,10
1052,10
1053,6
1056,10
1058,6
1060,6
1066,6
1066,10
1067,6
1069,6
1071,6
1071,10
1072,6
1072,10
1079,10
1080,10
1082,6
1089,6
1089,10
1090,6
1090,10
1095,6
1097,4
1102,6
1102,10
1104,6
1104,10
1105,6
1105,10
1106,6
1106,10
1107,6
1109,10
1111,8
1112,6
1112,10
1113,10
1115,6
1116,10
1126,6
1126,10
1127,6
1128,6
1128,10
1129,6
1129,10
1133,10
1135,6
1136,6
1137,6
1138,6
1145,10
1150,6
1152,6
1153,6
1153,10
1154,6
1154,10
1155,6
1155,10
1156,6
1156,10
1157,6
1157,10
1158,6
1158,10
1159,6
1159,10
1160,6
1160,10
1162,8
1162,15
1162,16
1164,6
1165,6
1165,10
1166,10
1167,10
1168,10
1169,10
1170,10
1171,6
1172,6
1179,4
1192,10
1194,6
1195,6
1201,6
1201,10
1202,6
1202,10
1203,10
1204,6
1205,10
1206,10
1207,10
1208,10
1209,6
1210,6
1212,6
1213,6
1214,6
1215,6
1237,6
1241,6
1241,10
1244,6
1251,6
1254,6
1256,10
1257,10
1258,10
1262,6
1267,10
1268,10
1275,6
1278,10
1280,6
1290,10
1293,6
1294,6
1366,14
1549,17
1773,17
1865,13
1866,13
1869,13
1873,13
1874,13
1877,13
1885,13
1886,13
1887,13
1888,13
1890,13
6252,17
6255,17
6265,17
6296,17
6305,17
6320,17
6328,17
6335,17
6401,17
6402,17
6403,17
6404,17
6405,17
6412,17
6413,17
6414,17
6415,17
6416,17
6417,17
6418,17
6419,17
6420,17
6421,17
6422,17
6423,17
6424,17
6429,17
6438,17
7017,18
7020,18
7031,18
7043,18
7044,18
7050,18
7054,18
7063,18
7072,18
7082,18
7083,18
7087,18
7098,18
7101,18
7102,18
7105,18
7116,18
7137,18
7139,18
7146,18
7166,18
7183,18
7187,18
7190,18
7191,18
7195,18
7197,18
7201,18
7213,18
7215,18
7218,18
7226,18
7227,18
7228,18
7244,18
7268,18
7269,18
7270,18
7274,18
7282,18
7294,18
7295,18
7499,13
7502,13
7521,13
7526,13
7556,13
7563,5
7564,5
7584,5
7586,5
7588,5
7592,2
7593,5
7595,2
7597,5
7599,2
7601,5
7602,2
7606,5
7609,2
7611,2
7612,5
7613,5
7614,5
7615,2
7616,2
7617,2
7618,5
7619,5
7624,2
7625,2
7628,2
7630,5
7631,5
7632,5
7636,5
8350,13
8374,2
8386,5
8387,5
8394,2
8438,2
8503,2
8578,2
8579,2
8585,2
8603,5
8604,5
8605,5
8645,2
8649,2
8650,2
8651,2
8652,2
8653,2
8654,2
8655,2
8656,2
8657,2
8658,2
8660,2
8661,2
8662,2
8663,2
8664,2
8665,2
8666,2
8667,2
8670,2
8671,2
8672,2
8673,2
8674,2
8675,2
8679,2
8680,2
8681,2
8682,2
8683,2
8684,2
8685,2
8686,2
8688,2
8689,2
8690,2
8693,2
8694,2
8695,2
8696,2
8697,2
8698,2
8699,2
8700,2
8701,2
8702,2
8703,2
8704,2
8705,2
8706,2
8707,2
8708,2
8709,2
8710,2
8711,2
8712,2
8713,2
8714,2
8715,2
8719,5
8720,5
8722,2
8723,2
8728,2
8729,2
8734,2
8738,2
8740,2
8800,2
8807,2
8844,2
